"original_id","content","year","region","word","word_id","meaning"
"78","оставь своё барахло, не пригодится уж. всё барахло своё в новый дом перетащил.","","Красноб.","барахло","25","Тряпьё, ненужная одежда"
"79","только в дому и добра-то, что одно барахло. все сундуки барахлом этим забиты.","","Ленск.","барахло","25","Тряпьё, ненужная одежда"
"80","сарафан из барентина быу у мамы.","","Пинеж.","барентин","26","Сатин красного цвета"
"81","барентиновой сарафан – сарафан из барентина, сатина красного цвета. сарафан барентиновой быу у мамы.","","Плесец.","барентиновый","27","В сочетании"
"82","","","Пинеж.","барентиновый","27","В сочетании"
"83","задолго до войны баретки носили, рады-то уж больно были. на ногах носили полсапожки да баретки коротеньки со шнурками.","","Холмог.","баретка","28","Женские туфли со шнурками"
"84","баретки были зелёны, красны, красивы, это потом волосы резать стали.","","Каргоп.","баретка","28","Женские туфли со шнурками"
"85","носили кроме опорок также и баретки.","","Каргоп.","баретка","28","Женские туфли со шнурками"
"86","сёстра катька ходила, голосила, закрывалась. басаменты, ну, повязки, закроютця платком рипсовым.","","Лешук.","басамент (басомент)","29","Лента из золотой или серебряной ткани, нашиваемая на самшуру, для украшения лба"
"87","а басаменты в праздники на лоб одевались.","","Устьян.","басамент (басомент)","29","Лента из золотой или серебряной ткани, нашиваемая на самшуру, для украшения лба"
"88","и украшен рукав басаментами.","","Красноб.","басамент (басомент)","29","Лента из золотой или серебряной ткани, нашиваемая на самшуру, для украшения лба"
"89","басамент как лента шёлкова, ковда выгорит, то золото из нево.","","Красноб.","басамент (басомент)","29","Лента из золотой или серебряной ткани, нашиваемая на самшуру, для украшения лба"
"90","басомент и повязка изготавливались из плотной ткани, прошитой блестящими нитями. басомент на голову надевался с рясками.","","Лешук.","басамент (басомент)","29","Лента из золотой или серебряной ткани, нашиваемая на самшуру, для украшения лба"
"91","басоменты-от у меня уж нет.","","Лешук.","басамента (басомента)","30","Повязка на голову"
"92","басаменту-то напришивают.","","Устьян.","басамента (басомента)","30","Повязка на голову"
"93","толиш баситце – рубаху нову надел. на танци нюрка-та баситце да баситце, беда.","","Красноб.","баситься","31","Наряжаться, прихорашиваться"
"94","хватит басича-то, пойди, бох с тобой.","","Ленск.","баситься","31","Наряжаться, прихорашиваться"
"95","баситьсе-то было не во что.","","Плесец.","баситься","31","Наряжаться, прихорашиваться"
"96","раньше были кофты с басками. юбку-то сошьём да с баской ещё. кофточки с басками по праздникам носили, баски – это фальшивы оборки.","","Плесец.","баска","32","Оборка на кофте, юбке"
"97","и сичас носят кофточки с басками, внизу пришиты. казачки шили из шерстяной материи, по низу кофты делали баску. я помню, как раньше носили кофты с басками. это от талии пошире полукруглое такое волнами такими.","","Холмог.","баска","32","Оборка на кофте, юбке"
"98","младша-то кака басунья выросла, дак не говори.","","Пинеж.","басун (басунья)","33","Человек, любящий хорошо одеваться"
"99","бафилы как сапоги, длинны голяшки.","","Лешук.","бафилы","34","Сапоги из кожи"
"100","мать велела одеть ему бафилы.","","Ненец. авт. округ","бафилы","34","Сапоги из кожи"
"101","завсе держали бафилы. бафилы шили из своей кожи.","","Пинеж.","бафилы","34","Сапоги из кожи"
"102","малой-то тоже бахилы просит.","","Ленск.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"103","ишше бахилы – это сапоги с длинными голяшками, вот до пахов. всё это бахилы носили.","","Лешук.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"104","ну вот одевали бахилы, их на ноги одевали. они как сапоги, токо ишшэ выше будут. бахилы – высокие сапоги. рыбу в них ловили. коды холодно, в бахилах сидим да бегаем вокруг лодки согреваться. вот бахилы раньше делали из шкур. бахилы для мужиков, длинна голяшка.","","Мезен.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"105","сапоги раньше звали бахилы.","","Няндом.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"106","в отцовских бахилах на рыбалку пошёл, эко вырос.","","Онеж.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"107","бахилы на роботу обувались.","","Вельск.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"108","кто победней, бахилы на ногах носили.","","Ленск.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"109","убери с улицы бахилы, дождь будет. где мои бахилы-то одень бахилы-да. сапоги-то раньше веть это шили из кожи, из телёнков.","","Верхнетоем.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"110","одевай бахилы, да пошли. сапоги назывались раньше бахилы.","","Каргоп.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"111","на ногах-то тогда бахилы носили. полоскать-то пойдём, дак из клети бахилы вынесу.","","Мезен.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"112","бахилы по праздникам носили, чаще приходилось лапти носить.","","Няндом.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"113","раньше не такие сапоги были, теперь-то разные сапожки. раньше у нас ешшо бахилами звали, потом уж сапоги стали.","","Онеж.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"114","раньше-то бахилами называли вот эти-то сапоги, простые сапоги. бахилы из кожи носили, как сапоги. так некому было и бахил-то, сапогов-то сошить да закропать. сапоги чуть не каждой шил, таки бахилы сошьют.","","Плесец.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"115","бахилы делали из скотской кожи, на подошвы кожу морского зайца. бахилы подвязывали, их шили из кожи. не в сапогах веть и ходили.","","Примор.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"116","в бахилах там только пройдёшь. а раньше-то чуть осень, уж бахилы одеваешь, бахилы-то сапоги такие. бахилы мужики носили из бычьей кожи, из конины.","","Холмог.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"117","крепкие бахилы-то дедушка сделал.","","Шенк.","бахилы","35","Длинные, на две четверти выше колена, сапоги"
"118","а подол юбки ейной бахрому одделан.","","Каргоп.","бахрома","36","Род тесьмы с висячими прядками различного вида"
"119","бахромок да нашивают на сарафан. нашивали бахромки на юбку. бахромка – это самодельные ленты из другово матерьяла, два сантиметра ширина.","","Плесец.","бахромка","37","Ленты или кружева, нашиваемые на одежду"
"120","башлык-то у мово деда совсем уж прохудился.","","Верхнетоем.","башлык","38","Зимний мужской головной убор с длинными ушами, завязываемыми назад"
"121","витёр-то, тепляе в башлыке-то.","","Ленск.","башлык","38","Зимний мужской головной убор с длинными ушами, завязываемыми назад"
"122","мужики на головы зимой одевали башлыки.","","Устьян.","башлык","38","Зимний мужской головной убор с длинными ушами, завязываемыми назад"
"123","обычно далеко поедут, одевают башлыки.","","Шенк.","башлык","38","Зимний мужской головной убор с длинными ушами, завязываемыми назад"
"124","башлык-от наверх надевали на шапку, шобы ветром не дуло.","","Пинеж.","башлык","38","Зимний мужской головной убор с длинными ушами, завязываемыми назад"
"125","башмаки ешшо когда одевали.","","Каргоп.","башмак","39","Кожаная женская обувь наподобие ботинок"
"126","а ноне и заводу башмакам нету.","","Ленск.","башмак","39","Кожаная женская обувь наподобие ботинок"
"127","","","Красноб.","башмак","39","Кожаная женская обувь наподобие ботинок"
"128","по праздникам башмаки одевали.","","Лешук.","башмак","39","Кожаная женская обувь наподобие ботинок"
"129","башмацки новеньки. носили на низком и высоком каблуках. одевали с ними синие чулки.","","Мезен.","башмак","39","Кожаная женская обувь наподобие ботинок"
"130","теперь есть ботинки-те длинны, на шнуровке, а то башмаки.","","Пинеж.","башмак","39","Кожаная женская обувь наподобие ботинок"
"131","башмаки-то бывало оденёшь только к празднику. принеси-ко с вышки башмаки-то. фартовые башмаки.","","Устьян.","башмак","39","Кожаная женская обувь наподобие ботинок"
"132","башмак одевался, а на боку-то было диривянно крыло. в лес-то башмаки своешиты надевали из конины. когда не шипко мокро, так и башмаки наденут.","","Холмог.","башмак","39","Кожаная женская обувь наподобие ботинок"
"133","башмачок – уменьш. от башмак. я башмацьки под кровать, сама скок на кровать, ко старому мужу спать.","","Лешук.","башмак","39","Кожаная женская обувь наподобие ботинок"
"134","обуй башмаки-те, веть праздник.","","Вельск.","башмак","39","Кожаная женская обувь наподобие ботинок"
"135","мальцик был оцень рад новой покупки, там оказались башмаки.","","Пинеж.","башмак","39","Кожаная женская обувь наподобие ботинок"
"136","то безрукавка аглицька с моршинками. обтянута аглицькой матерьёй, сзади-то много моршинок.","","Пинеж.","безрукавка","40","В сочетании. Безрукáвка áглицка с морщи́нками – Тёплая безрукавая шубка, верх которой обшит материей, сзади множество складок"
"137","в безрукавке разе только летом походишь.","","Вельск.","безрукавка","40","В сочетании. Безрукáвка áглицка с морщи́нками – Тёплая безрукавая шубка, верх которой обшит материей, сзади множество складок"
"138","кому свитор свяжу, кому безрукавку.","","Верхнетоем.","безрукавка","40","В сочетании. Безрукáвка áглицка с морщи́нками – Тёплая безрукавая шубка, верх которой обшит материей, сзади множество складок"
"139","безрукавку нову нать шить.","","Ленск.","безрукавка","40","В сочетании. Безрукáвка áглицка с морщи́нками – Тёплая безрукавая шубка, верх которой обшит материей, сзади множество складок"
"140","в дому нашла баушкину безрукавку, цела ишше.","","Лешук.","безрукавка","40","В сочетании. Безрукáвка áглицка с морщи́нками – Тёплая безрукавая шубка, верх которой обшит материей, сзади множество складок"
"141","вон какая хвалёнка в безрукавке идёт. безрукавку носили весной и осенью, а если дома холодно, то и дома одевали.","","Пинеж.","безрукавка","40","В сочетании. Безрукáвка áглицка с морщи́нками – Тёплая безрукавая шубка, верх которой обшит материей, сзади множество складок"
"142","безрукавки носили для тепла.","","Холмог.","безрукавка","40","В сочетании. Безрукáвка áглицка с морщи́нками – Тёплая безрукавая шубка, верх которой обшит материей, сзади множество складок"
"143","да юбку с бейками.","","Холмог.","бейка","41","Вышивка"
"144","бейка по подолу красная да синяя.","","Устьян.","бейка","41","Вышивка"
"145","бекешу наденут и в город.","","Плесец.","бекеша","42","Длинная нарядная шуба со сборками"
"146","кокошник-от бисером вышивали.","","Ленск.","бисер","43","Мелкие стеклянные бусины для уборов и украшений"
"147","кокошник-от украшен был бисером.","","Лешук.","бисер","43","Мелкие стеклянные бусины для уборов и украшений"
"148","у подруги цветы на груди вышиты чёрным бисером. бисер нашивали в два-три ряда на платье, на фартуки, вон эстолько. а у повязки на краю бисер висит.","","Холмог.","бисер","43","Мелкие стеклянные бусины для уборов и украшений"
"149","верхову рубаху блюзой называли, толстовкой звали не тельну, а верхню рубаху.","","Холмог.","блюза","44","Верхняя рубаха"
"150","гарусной плат, по краям борозда атласна и каймы идут по плату.","","Плесец.","борозда","45","Нашивная полоска на платке или одежде"
"151","гарусной плат, по краям бороздка атласна.","","Плесец.","бороздка","46","То же, что бороздá"
"152","шуба с борками.","","Красноб.","борок","47","Сборка, складка"
"153","нарукавники с бороцьками шили.","","Няндом.","борок","47","Сборка, складка"
"154","у рукавов делали борки, вышивки. к станушке пришивали борок и рукава.","","Холмог.","борок","47","Сборка, складка"
"155","борок быу у косовороток.","","Устьян.","борок","47","Сборка, складка"
"156","носили рубаху борошницю когды хош за хорошо. у дедины матрёны рубаха борошниця была.","","Пинеж.","борошница","48","Ситцевая рубаха с присборенными у манжета рукавами"
"157","платье с борами, оборочки таки.","","Верхнетоем.","боры (боры)","49","Оборка, складка на юбке, сборки на кофточке или рубашке"
"158","мы боров мало носили, полосами шили. казачины-то все были с бором. боры, как оборки, только поглубже, покрупнее. к низу боры, а по подборью кружево пустим, баско будет.","","Красноб.","боры (боры)","49","Оборка, складка на юбке, сборки на кофточке или рубашке"
"159","сарафан с борами.","","Каргоп.","боры (боры)","49","Оборка, складка на юбке, сборки на кофточке или рубашке"
"160","наберём боров-то, насобираем.","","Ленск.","боры (боры)","49","Оборка, складка на юбке, сборки на кофточке или рубашке"
"161","токи куртоцьки с борами.","","Няндом.","боры (боры)","49","Оборка, складка на юбке, сборки на кофточке или рубашке"
"162","сачки, все кругом в борах, всё слабо.","","Плесец.","боры (боры)","49","Оборка, складка на юбке, сборки на кофточке или рубашке"
"163","бывало, уж одни босовики остануча.","","Ленск.","босовик","50","Лёгкая летняя обувь"
"164","у ребят моих таки босовики были, когда малы были.","","Лешук.","босовик","50","Лёгкая летняя обувь"
"165","в однех босовиках ногу собьёшь.","","Устьян.","босовик","50","Лёгкая летняя обувь"
"166","в однех босоногах ногу собьёшь.","","Ленск.","босонога","51","То же, что босови́к"
"167","по весне ботики носили.","","Примор.","ботики","52","Резиновая обувь"
"168","бывало, были больши каманьски ботинки, со шнурками, с двумя подошвами, едрёны таки, тяжёлы. каманьски ботинки, едрёны таки, на двух подошвах, их каманы (заключенные) носили.","","Холмог.","ботинки","53","В сочетании. Камáнские боти́нки"
"169","ботинки сошьют такие мягкие, как тапки.","","Плесец.","ботинки","53","В сочетании. Камáнские боти́нки"
"170","боты суконны зимой носили.","","Каргоп.","боты","54","Женские полусапожки или ботинки, которые изготовлялись из сукна"
